"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"1","CC","19",2020-09-22,"N1",0.013254102,236680.392857143,329665.858803603,1747068035554.45,2433444855218.8
"2","CC","19",2020-09-22,"N2",2e-04,3571.42857142857,0,26362676785.7143,0
"3","CC","20",2020-09-29,"N1",2e-04,3571.42857142857,0,22847653214.2857,0
"4","CC","20",2020-09-29,"N2",2e-04,3571.42857142857,0,22847653214.2857,0
"5","CC","21",2020-10-06,"N1",2e-04,3571.42857142857,0,20549368571.4286,0
"6","CC","21",2020-10-06,"N2",0.226120534666667,4037866.69047619,5705355.07400323,23233171042169.1,32827604389037.5
"7","CC","22",2020-10-13,"N1",2e-04,3571.42857142857,0,26362676785.7143,0
"8","CC","22",2020-10-13,"N2",2e-04,3571.42857142857,0,26362676785.7143,0
"9","CC","23",2020-10-20,"N1",2e-04,3571.42857142857,0,20954948214.2857,0
"10","CC","23",2020-10-20,"N2",2e-04,3571.42857142857,0,20954948214.2857,0
"11","MI","10",2020-07-21,"N1",0.5866669495,10476195.5267857,1590330.05984733,127694558895141,19384565224146.4
"12","MI","10",2020-07-21,"N2",0.536595313,9582059.16071429,3605187.08060632,116795912667542,43943698150289.4
"13","MI","11",2020-07-28,"N1",0.00266123633333333,47522.0773809524,62155.6036215255,534274924407.734,698794797209.728
"14","MI","11",2020-07-28,"N2",0.0720831793333333,1287199.63095238,1815324.41285174,14471557714360.3,20409089141389.7
"15","MI","12",2020-08-04,"N1",2e-04,3571.42857142857,0,47858397857.1429,0
"16","MI","12",2020-08-04,"N2",2e-04,3571.42857142857,0,47858397857.1429,0
"17","MI","13",2020-08-11,"N1",2e-04,3571.42857142857,0,43261828571.4286,0
"18","MI","13",2020-08-11,"N2",2e-04,3571.42857142857,0,43261828571.4286,0
"19","MI","14",2020-08-18,"N1",0.0177542578333333,317040.318452381,225790.302701886,4008426156855.24,2854727624967.49
"20","MI","14",2020-08-18,"N2",0.0452138853333333,807390.809523809,8592.71109735166,10208059515893.6,108639961280.186
"21","MI","15",2020-08-25,"N1",0.0163170703333333,291376.255952381,407017.49019859,4467063301831.04,6239948714169.21
"22","MI","15",2020-08-25,"N2",0.0128903385,230184.616071429,320479.443175097,3528939747467.93,4913241660407.25
"23","MI","16",2020-09-01,"N1",0.206352153,3684859.875,915682.842883427,46030727884098.4,11438575467921.9
"24","MI","16",2020-09-01,"N2",0.188596721,3367798.58928571,732517.059011566,42070044910964.5,9150495421164.81
"25","MI","17",2020-09-08,"N1",0.0728731411666667,1301306.0922619,1187405.62357989,16058685328751.8,14653103816271.1
"26","MI","17",2020-09-08,"N2",0.296878814833333,5301407.4077381,1373001.73345869,65421682005962.3,16943440843437
"27","MI","18",2020-09-15,"N1",0.220168993833333,3931589.17559524,5901383.58913373,51345235585105.4,77070089759892.3
"28","MI","18",2020-09-15,"N2",0.39626700375,7076196.49553571,8668855.97781329,92412752167772.2,113212350669061
"29","MI","19",2020-09-22,"N1",0.0293951681666667,524913.717261905,670712.645562391,7232729629435.81,9241677374523.53
"30","MI","19",2020-09-22,"N2",0.0333807076666667,596084.06547619,543514.172176185,8213378199550.98,7489023296290.72
"31","MI","20",2020-09-29,"N1",0.0529226445,945047.223214286,683009.259727709,132721213862344,95920940037223.6
"32","MI","20",2020-09-29,"N2",0.012099088,216055.142857143,6605.76629603114,30342505767778,927705303781.857
"33","MI","21",2020-10-06,"N1",0.00103515883333333,18484.9791666667,21090.9455149231,239308429456.537,273045536130.826
"34","MI","21",2020-10-06,"N2",2e-04,3571.42857142857,0,46236079285.7143,0
"35","MI","22",2020-10-13,"N1",2e-04,3571.42857142857,0,50291875714.2857,0
"36","MI","22",2020-10-13,"N2",2e-04,3571.42857142857,0,50291875714.2857,0
"37","MI","23",2020-10-20,"N1",0.0520356484444445,929208.007936508,937548.245508399,12099970501510.9,12208575493863
"38","MI","23",2020-10-20,"N2",0.0203758511111111,363854.484126984,624028.557328383,4738044105491.4,8125981557715.73
"39","MI","5",2020-06-16,"N1",2e-04,3571.42857142857,0,43532215000,0
"40","MI","5",2020-06-16,"N2",2e-04,3571.42857142857,0,43532215000,0
"41","MI","6",2020-06-23,"N1",2e-04,3571.42857142857,0,46506465714.2857,0
"42","MI","6",2020-06-23,"N2",2e-04,3571.42857142857,0,46506465714.2857,0
"43","MI","7",2020-06-30,"N1",0.11569313625,2065948.86160714,2598607.54431264,23617799710253.2,29707120852635.8
"44","MI","7",2020-06-30,"N2",0.18443702575,3293518.31696429,6579893.77678571,37651297860103.7,75220939018778.9
"45","MI","8",2020-07-07,"N1",0.0811499655,1449106.52678571,2044295.34078097,18705426571079.3,26388271448474.8
"46","MI","8",2020-07-07,"N2",2e-04,3571.42857142857,0,46100886071.4286,0
"47","MI","9",2020-07-14,"N1",2e-04,3571.42857142857,0,39476418571.4286,0
"48","MI","9",2020-07-14,"N2",0.173665921666667,3101177.17261905,4380676.05411694,34278543076531.3,48421352430683.3
"49","NO","10",2020-07-21,"N1",2e-04,3571.42857142857,0,63540810714.2857,0
"50","NO","10",2020-07-21,"N2",0.103591045333333,1849840.0952381,1520846.66235371,32911295016101.6,27058032371459.7
"51","NO","11",2020-07-28,"N1",0.0248730341666667,444161.324404762,623088.206132049,8019957069701.69,11250733436805.5
"52","NO","11",2020-07-28,"N2",0.0771937953333333,1378460.63095238,1094337.52961152,24890044393954.2,19759802407401.3
"53","NO","12",2020-08-04,"N1",2e-04,3571.42857142857,0,78412064285.7143,0
"54","NO","12",2020-08-04,"N2",0.00548557833333333,97956.755952381,133481.010071168,2150677604588.27,2930626031934.29
"55","NO","13",2020-08-11,"N1",0.0112825331666667,201473.806547619,279876.226959815,3935330564144.06,5466742744407.12
"56","NO","13",2020-08-11,"N2",0.0149165371666667,266366.735119048,371648.686647638,5202865682380.89,7259308099401.83
"57","NO","14",2020-08-18,"N1",0.00677492383333333,120980.782738095,166041.901011966,2614962247920.14,3588944400030.42
"58","NO","14",2020-08-18,"N2",0.0341369611666667,609588.592261905,297979.810474013,13176069119824.9,6440741557432.34
"59","NO","15",2020-08-25,"N1",0.0504272178333333,900486.032738095,401599.894788244,21679388179070,9668600839165.14
"60","NO","15",2020-08-25,"N2",0.0186120015,332357.169642857,464973.254138103,8001567856500.21,11194327621822.4
"61","NO","16",2020-09-01,"N1",0.713447788666667,12740139.0833333,5339428.05551773,276338703855036,115814326557802
"62","NO","16",2020-09-01,"N2",0.575346750166667,10274049.110119,1506207.43487178,222848227626292,32670240690997.6
"63","NO","17",2020-09-08,"N1",0.207982252166667,3713968.78869048,2025361.57181597,69732117178288.2,38027446779936.7
"64","NO","17",2020-09-08,"N2",0.401224670666667,7164726.26190476,212134.66917052,134522275137821,3982962822202.9
"65","NO","18",2020-09-15,"N1",0.844505184083333,15080449.7157738,17957117.50327,311687840965887,371143784837571
"66","NO","18",2020-09-15,"N2",0.123147204583333,2199057.22470238,1597602.72763961,45450859320925.1,33019794123139.1
"67","NO","19",2020-09-22,"N1",0.0201447544166667,359727.757440476,424997.526044659,7380506412586.72,8719641177050.75
"68","NO","19",2020-09-22,"N2",0.0177853299166667,317595.177083333,258217.383037563,6516075539313.97,5297825958469.29
"69","NO","20",2020-09-29,"N1",2e-04,3571.42857142857,0,75032233928.5714,0
"70","NO","20",2020-09-29,"N2",2e-04,3571.42857142857,0,75032233928.5714,0
"71","NO","21",2020-10-06,"N1",2e-04,3571.42857142857,0,72733949285.7143,0
"72","NO","21",2020-10-06,"N2",0.000524223833333333,9361.13988095238,8187.88825615347,190644348540.147,166750485770.445
"73","NO","22",2020-10-13,"N1",0.0280467071111111,500834.055555556,861284.134641679,10673704423814.3,18355565433521.6
"74","NO","22",2020-10-13,"N2",0.0312034278888889,557204.069444444,319741.752814436,11875054172183.4,6814290928574.89
"75","NO","23",2020-10-20,"N1",0.0502963476666667,898149.065476191,1549453.91843395,17747282009588.9,30616961825518.7
"76","NO","23",2020-10-20,"N2",0.0681696161111111,1217314.5734127,195225.256368019,24053941443766.1,3857619868836.08
"77","NO","5",2020-06-16,"N1",2e-04,3571.42857142857,0,65163129285.7143,0
"78","NO","5",2020-06-16,"N2",2e-04,3571.42857142857,0,65163129285.7143,0
"79","NO","6",2020-06-23,"N1",2e-04,3571.42857142857,0,71652403571.4286,0
"80","NO","6",2020-06-23,"N2",2e-04,3571.42857142857,0,71652403571.4286,0
"81","NO","7",2020-06-30,"N1",0.680274777611111,12147763.8859127,19064353.5009014,227622121112295,357223652209944
"82","NO","7",2020-06-30,"N2",0.214955141277778,3838484.6656746,4294454.94118094,71924679279541.9,80468549760533.9
"83","NO","8",2020-07-07,"N1",2e-04,3571.42857142857,0,75167427142.8571,0
"84","NO","8",2020-07-07,"N2",0.133638836222222,2386407.78968254,2981060.30341312,50226437425950.5,62742017286275.5
"85","NO","9",2020-07-14,"N1",0.0297532391111111,531307.841269841,914066.279797788,9653846474022.09,16608555053804.8
"86","NO","9",2020-07-14,"N2",0.367732627333333,6566654.05952381,5774929.21637957,119315894128618,104930279063882
